State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
Tennessee,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,Medicaid only,Hybrid,65.4,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Kentucky,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,Medicaid & CHIP,Administrative,79.7,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Texas,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,CHIP only,Administrative,65.8,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Texas,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,CHIP only,NR,,29,9,7.8,10.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Virginia,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,8.1,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid only,Hybrid,17.5,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Pennsylvania,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid only,Hybrid,86.4,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
Florida,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Administrative,18.8,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(27.8333, -81.717)"
Alabama,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,CHIP only,Administrative,95.6,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Illinois,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,85,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
South Carolina,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Administrative,3.8,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(33.8191, -80.9066)"
Tennessee,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid only,Administrative,10.8,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Mississippi,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,CHIP only,Administrative,60.2,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Oregon,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,Medicaid & CHIP,Administrative,53.4,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)"
Mississippi,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,34.1,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
New Mexico,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,52.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(34.8375, -106.2371)"
Indiana,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid & CHIP,Administrative,34.4,16,33.2,25.2,41.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)"
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,CHIP only,Administrative,,16,33.2,25.2,41.2,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
New Mexico,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Administrative & Hybrid,16.3,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
Indiana,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid & CHIP,Administrative,96.4,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)"
North Carolina,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,66.7,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.6411, -79.8431)"
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,Medicaid only,Administrative,21.8,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Connecticut,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,59.6,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(41.5834, -72.7622)"
Illinois,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid & CHIP,Administrative,56.5,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2014,CHIP only,Administrative,14.3,25,28.2,23.3,37.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Iowa,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,CHIP only,NR,,35,66.9,56.7,75.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Mississippi,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid only,Hybrid,88.3,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Idaho,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid & CHIP,Administrative,34,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
Illinois,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid & CHIP,Administrative,18.4,16,33.2,25.2,41.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Arkansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid & CHIP,Administrative,31.9,16,33.2,25.2,41.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)"
Indiana,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,21.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(39.8647, -86.2604)"
West Virginia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,CHIP only,Administrative,91,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Vermont,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,92.1,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.0407, -72.7093)"
Idaho,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,Medicaid & CHIP,Administrative,29.2,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
Rhode Island,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Hybrid,27.9,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
Indiana,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,91.1,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)"
South Carolina,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,49.7,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(33.8191, -80.9066)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,41.4,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Arkansas,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,51.1,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(34.9513, -92.3809)"
Texas,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,CHIP only,Administrative,42.8,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Delaware,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,20.2,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(39.3498, -75.5148)"
Oregon,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid & CHIP,Administrative,84,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)"
New York,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,40.5,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)"
Alabama,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid only,Administrative,41.5,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Nevada,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,9.3,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4199, -117.1219)"
Tennessee,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,48.1,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(35.7449, -86.7489)"
Texas,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid only,Administrative,59.7,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,8.4,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
New Mexico,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,91,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
New Mexico,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid & CHIP,Administrative,47.1,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
